Sector,pct change
Electronic Gaming & Multimedia,53.655514250309785
REIT-Residential,37.567112859831944
Insurance Brokers,35.35718478743823
Entertainment,34.177215189873415
Household & Personal Products,33.524101858654795
Rental & Leasing Services,33.10685608400247
Personal Services,25.558744819118026
Internet Retail,22.20421393841167
Waste Management,17.03715465227056
Utilities-Regulated Water,16.117352978586386
Software-Infrastructure,15.850027994462808
REIT-Industrial,13.030551157704942
Department Stores,12.860980523841508
Health Information Services,11.076449555582194
Utilities-Regulated Gas,7.368996366113179
Electronics & Computer Distribution,6.198544315946487
Oil & Gas Refining & Marketing,2.741377086967594
Mortgage Finance,2.7125429770737433
Diagnostics & Research,2.6966536448475815
Insurance-Property & Casualty,2.2926838225579442
Broadcasting,2.107429907754579
Infrastructure Operations,1.2639942217407056
Education & Training Services,1.0852482299180481
Pollution & Treatment Controls,-2.2110552763819165
Thermal Coal,-2.2705771050141874
REIT-Mortgage,-4.418853728272542
REIT-Retail,-4.420596747286467
Footwear & Accessories,-4.506229266072642
Luxury Goods,-4.629140183624993
Information Technology Services,-5.606248502923776
Insurance-Specialty,-6.046432051988751
Marine Shipping,-6.8394753279200415
Apparel Retail,-7.266792720757628
Medical Instruments & Supplies,-7.336334384927368
REIT-Diversified,-7.52254115946826
REIT-Healthcare Facilities,-7.929465909972518
Restaurants,-9.84622956715473
Medical Care Facilities,-10.394031915393448
Other Industrial Metals & Mining,-10.468993109579907
Security & Protection Services,-11.410135052615594
Utilities-Diversified,-12.224593206790505
Computer Hardware,-12.911717026761274
Aerospace & Defense,-13.66824119394313
Leisure,-14.497737624219702
Telecom Services,-15.246745119873296
Scientific & Technical Instruments,-15.450144146071892
Specialty Business Services,-15.852828936073124
REIT-Specialty,-15.921871122076018
Electronic Components,-16.206640796605082
Credit Services,-16.76211509965132
Packaged Foods,-18.10688962056485
Insurance-Life,-18.110236220472437
Resorts & Casinos,-19.454640797063455
Auto & Truck Dealerships,-19.50859199679548
Consulting Services,-19.671825437827504
Electrical Equipment & Parts,-21.503229346714413
Capital Markets,-22.004259541370317
Coking Coal,-22.91725788964322
Publishing,-22.945453405759668
REIT-Hotel & Motel,-23.385829470174112
Advertising Agencies,-25.348167247225916
Internet Content & Information,-25.664815556512302
Biotechnology,-26.515524448104525
Trucking,-26.599620386274488
Railroads,-26.833586241780477
Auto Parts,-27.81668920982974
Integrated Freight & Logistics,-27.977808196177353
Metal Fabrication,-28.57106833669639
Textile Manufacturing,-28.7722564508677
Staffing & Employment Services,-29.92492414817706
Oil & Gas Midstream,-31.04631217838764
Airports & Air Services,-33.44394406257407
Farm Products,-33.970782416431895
Beverages-Non-Alcoholic,-34.047606819827436
Engineering & Construction,-34.25994285222184
Banks-Regional,-34.28728104980027
Specialty Chemicals,-35.5180218477523
Semiconductors,-36.174924619186385
Communication Equipment,-36.43577758095094
Specialty Industrial Machinery,-37.38489103703974
Conglomerates,-37.863121614968
Agricultural Inputs,-39.236339697169186
Asset Management,-39.25581490956496
Chemicals,-41.42061016750322
Airlines,-41.89651236907253
Residential Construction,-42.20187272556969
Apparel Manufacturing,-42.48702816740791
Real Estate-Diversified,-42.74867122247532
Consumer Electronics,-44.170199426797225
Medical Devices,-45.048009632211944
REIT-Office,-45.13228745387262
Steel,-45.88889408985528
Industrial Distribution,-46.02214203105738
Real Estate Services,-47.663982014525196
Insurance-Reinsurance,-47.82157676348547
Business Equipment & Supplies,-49.254244509438045
Drug Manufacturers-Specialty & Generic,-50.52176080537368
Building Products & Equipment,-51.10387912807928
Tobacco,-53.776622548419525
Specialty Retail,-53.85649450886925
Semiconductor Equipment & Materials,-54.749395888753824
Oil & Gas Equipment & Services,-57.51710931929929
"Furnishings, Fixtures & Appliances",-57.55520772019628
Software-Application,-60.48160889818088
Packaging & Containers,-60.96965616101707
Lumber & Wood Production,-65.08565830999473
Oil & Gas E&P,-66.13134441070291
Food Distribution,-72.81217670605332
Healthcare Plans,-75.07470557215679
Discount Stores,-77.16420582597888
Paper & Paper Products,-81.51413726005151
Farm & Heavy Construction Machinery,-86.24947865185419
Recreational Vehicles,-89.69643630822145
Tools & Accessories,-91.866028708134
Pharmaceutical Retailers,-94.3250214961307
Home Improvement Retail,-106.1153694704719
Aluminum,-113.92021938076932
Building Materials,-120.66326530612244
Oil & Gas Drilling,-156.82095775919575
Medical Distribution,-232.70142180094786
