Ticker,pct change,Sector,Industry,Full Time Emp,Year
CENTA,33.088235294117645,Consumer Defensive,Packaged Foods,5600,2015
ECHO,-29.475232957332015,Industrials,Integrated Freight & Logistics,2513,2015
HMSY,-60.332252836304704,Healthcare,Health Information Services,3100,2015
RGR,32.22613655426942,Industrials,Aerospace & Defense,1609,2015
AAWW,-9.337203676826316,Industrials,Airports & Air Services,3587,2015
ARR,84.78860294117648,Real Estate,REIT-Mortgage,0,2015
HOPE,24.796747967479675,Financial Services,Banks-Regional,1416,2015
SPOK,6.55021834061135,Communication Services,Telecom Services,613,2015
HT,69.30147058823529,Real Estate,REIT-Hotel & Motel,49,2015
DAKT,-41.97247706422018,Technology,Computer Hardware,2395,2015
ECPG,-27.99174690508941,Financial Services,Mortgage Finance,7300,2015
HTLD,-50.940070505287906,Industrials,Trucking,4050,2015
USPH,27.738450074515647,Healthcare,Medical Care Facilities,3200,2015
HUBG,-1.3657056145675135,Industrials,Integrated Freight & Logistics,5000,2015
TTGT,-37.60896637608968,Communication Services,Internet Content & Information,649,2015
IRBT,10.87570621468926,Technology,Consumer Electronics,1159,2015
AEIS,14.984059511158343,Industrials,Electrical Equipment & Parts,10917,2015
LCI,-18.220338983050855,Healthcare,Drug Manufacturers-Specialty & Generic,954,2015
AMN,39.388083735909824,Healthcare,Medical Care Facilities,3236,2015
CENT,37.50000000000001,Consumer Defensive,Packaged Foods,5600,2015
NEO,48.792884371029224,Healthcare,Diagnostics & Research,1700,2015
AEL,-6.158967956720767,Financial Services,Insurance-Life,608,2015
AMCX,10.685591858596684,Communication Services,Broadcasting,2114,2015
ELY,13.375796178343947,Consumer Cyclical,Leisure,4200,2015
BKU,23.294509151414314,Financial Services,Banks-Regional,1493,2015
COKE,46.55635307654374,Consumer Defensive,Beverages-Non-Alcoholic,14800,2015
SNEX,42.3789599521817,Financial Services,Capital Markets,2950,2015
ENDP,-30.03920287487749,Healthcare,Drug Manufacturers-Specialty & Generic,3172,2015
STBA,10.804672290720317,Financial Services,Banks-Regional,1201,2015
MRTN,-15.53672316384181,Industrials,Trucking,4087,2015
DIOD,-15.013054830287203,Technology,Semiconductors,6605,2015
FDP,13.503086419753085,Consumer Defensive,Farm Products,38000,2015
MGLN,2.497567304573466,Healthcare,Healthcare Plans,10100,2015
COHU,6.130903065451535,Technology,Semiconductor Equipment & Materials,3200,2015
EBIX,30.314120158584927,Technology,Software-Application,7975,2015
MNRO,13.711869525823012,Consumer Cyclical,Auto Parts,8184,2015
MOV,6.534422403733954,Consumer Cyclical,Luxury Goods,1145,2015
MYE,-24.999999999999986,Consumer Cyclical,Packaging & Containers,1640,2015
MMI,-17.63898421413864,Real Estate,Real Estate Services,877,2015
AVAV,13.165931455717676,Industrials,Aerospace & Defense,823,2015
CHUY,31.812380344607526,Consumer Cyclical,Restaurants,9000,2015
ONB,1.1061946902654893,Financial Services,Banks-Regional,2484,2015
DNOW,-57.71175726927938,Energy,Oil & Gas Equipment & Services,2600,2015
GME,-25.713266761768907,Consumer Cyclical,Specialty Retail,14000,2015
DIN,-26.077713475847403,Consumer Cyclical,Restaurants,558,2015
FELE,-26.563078061413243,Industrials,Specialty Industrial Machinery,5500,2015
POWL,-49.865539761813274,Industrials,Electrical Equipment & Parts,1997,2015
IBP,28.11115585984695,Industrials,Building Products & Equipment,8500,2015
CIR,-17.1767497034401,Industrials,Specialty Industrial Machinery,3200,2015
CHRS,2.264808362369336,Healthcare,Biotechnology,306,2015
RCII,-128.99131596526388,Industrials,Rental & Leasing Services,14500,2015
TTMI,-6.758832565284184,Technology,Electronic Components,25700,2015
AXL,-28.563885955649422,Consumer Cyclical,Auto Parts,20000,2015
WDR,-56.001395673412425,Financial Services,Asset Management,1162,2015
OFIX,22.213720989543486,Healthcare,Medical Devices,1055,2015
MIK,-16.689280868385353,Consumer Cyclical,Specialty Retail,12000,2015
GPRE,-2.2270742358078675,Basic Materials,Specialty Chemicals,820,2015
AVA,-4.975968334746975,Utilities,Utilities-Diversified,1920,2015
BCOR,-37.95918367346937,Financial Services,Asset Management,690,2015
IOSP,27.324617934082124,Basic Materials,Specialty Chemicals,2000,2015
SWN,-248.66385372714484,Energy,Oil & Gas E&P,923,2015
ROG,-43.222803955788244,Technology,Electronic Components,3600,2015
LPSN,-58.518518518518505,Technology,Software-Application,1213,2015
TRST,-4.723127035830619,Financial Services,Banks-Regional,771,2015
LCII,17.424864509771716,Consumer Cyclical,Recreational Vehicles,10500,2015
BOOM,-102.57510729613732,Energy,Oil & Gas Equipment & Services,741,2015
UNF,-11.449136276391547,Industrials,Specialty Business Services,14000,2015
