Ticker,pct change,Industry,Sector,Full Time Emp,Year
IIIN,-29.036243822075768,Industrials,Metal Fabrication,881,2018
NBHC,-7.677356656948496,Financial Services,Banks-Regional,1229,2018
CHCO,-1.7902056517236185,Financial Services,Banks-Regional,921,2018
HMN,-10.280373831775686,Financial Services,Insurance-Property & Casualty,1538,2018
TRUP,-37.15632364493323,Financial Services,Insurance-Specialty,738,2018
AAWW,-33.44394406257407,Industrials,Airports & Air Services,3587,2018
KREF,-1.5665796344647556,Real Estate,REIT-Mortgage,0,2018
RC,-4.844540853217643,Real Estate,REIT-Mortgage,500,2018
HLX,-39.186691312384475,Energy,Oil & Gas Equipment & Services,1650,2018
WD,-7.398843930635844,Financial Services,Mortgage Finance,861,2018
REX,-19.87960651886655,Energy,Oil & Gas Refining & Marketing,128,2018
WETF,-74.28571428571428,Financial Services,Asset Management,211,2018
DORM,16.19640079982226,Consumer Cyclical,Auto Parts,2732,2018
HVT,-18.743343982960592,Consumer Cyclical,Home Improvement Retail,3425,2018
MTRX,0.22296544035675975,Energy,Oil & Gas Equipment & Services,2900,2018
CRVL,16.315618924173688,Financial Services,Insurance Brokers,3824,2018
TBK,-29.629629629629633,Financial Services,Banks-Regional,1122,2018
ALG,-48.771339886187285,Industrials,Farm & Heavy Construction Machinery,4270,2018
PLXS,-16.973375097885672,Technology,Electronic Components,19500,2018
CBB,-121.7223650385604,Communication Services,Telecom Services,4400,2018
LXP,-9.866017052375135,Real Estate,REIT-Diversified,57,2018
ANGO,13.512170889220066,Healthcare,Medical Instruments & Supplies,800,2018
ESE,7.278241091736169,Technology,Scientific & Technical Instruments,2713,2018
TRHC,43.804893350062734,Healthcare,Health Information Services,1286,2018
AXL,-59.009009009009006,Consumer Cyclical,Auto Parts,20000,2018
ASIX,-62.11996713229253,Basic Materials,Chemicals,1520,2018
JBSS,-12.504491555874958,Consumer Defensive,Packaged Foods,1370,2018
MSTR,-7.812133072407038,Technology,Software-Application,2073,2018
TGI,-153.4782608695652,Industrials,Aerospace & Defense,9989,2018
KAMN,-11.784631841683007,Industrials,Aerospace & Defense,2935,2018
NPO,-46.405990016638924,Industrials,Specialty Industrial Machinery,5300,2018
SAIA,-35.34575420996058,Industrials,Trucking,10400,2018
AJRD,21.94152710757876,Industrials,Aerospace & Defense,4814,2018
SLP,18.84422110552764,Healthcare,Health Information Services,129,2018
SENEA,-11.800141743444373,Consumer Defensive,Packaged Foods,3200,2018
HWKN,13.797313797313809,Basic Materials,Specialty Chemicals,656,2018
WSR,-7.177814029363791,Real Estate,REIT-Retail,85,2018
ALGT,-58.90041907802834,Industrials,Airlines,4275,2018
DRH,-29.51541850220264,Real Estate,REIT-Hotel & Motel,31,2018
EPAC,-17.913292043830403,Industrials,Specialty Industrial Machinery,2300,2018
GLT,-139.34426229508196,Basic Materials,Paper & Paper Products,2557,2018
AAON,-3.8220193953222936,Industrials,Building Products & Equipment,2290,2018
KOP,-168.7793427230047,Basic Materials,Specialty Chemicals,2120,2018
NXGN,14.191419141914194,Healthcare,Health Information Services,2754,2018
EXTR,-146.39344262295083,Technology,Communication Equipment,2584,2018
VIAV,14.626865671641799,Technology,Communication Equipment,3600,2018
RGNX,36.11442193087009,Healthcare,Biotechnology,257,2018
MERC,-40.804597701149426,Basic Materials,Paper & Paper Products,2325,2018
CNXN,11.87352842246889,Technology,Electronics & Computer Distribution,2609,2018
JOE,-42.74867122247532,Real Estate,Real Estate-Diversified,55,2018
CRS,-44.341477113170455,Industrials,Metal Fabrication,4600,2018
FWRD,-10.683682771194164,Industrials,Integrated Freight & Logistics,4640,2018
POWI,-22.499180059035762,Technology,Semiconductors,699,2018
BDN,-39.39393939393941,Real Estate,REIT-Office,337,2018
CBU,8.576329331046313,Financial Services,Banks-Regional,2752,2018
ETH,-41.273450824332016,Consumer Cyclical,"Furnishings, Fixtures & Appliances",3369,2018
CVGW,-19.24342105263159,Consumer Defensive,Packaged Foods,3657,2018
WWW,-2.9476324866729313,Consumer Cyclical,Footwear & Accessories,4000,2018
OMCL,19.905290659699553,Healthcare,Health Information Services,2670,2018
OSUR,-86.30136986301372,Healthcare,Medical Instruments & Supplies,472,2018
FUL,-21.51394422310757,Basic Materials,Specialty Chemicals,6369,2018
GWB,-34.879999999999995,Financial Services,Banks-Regional,1607,2018
OIS,-124.08963585434174,Energy,Oil & Gas Equipment & Services,2337,2018
CNMD,10.000000000000002,Healthcare,Medical Devices,3300,2018
