Ticker,pct change,Sector,Industry,Full Time Emp,Year
HCI,-38.32775919732442,Financial Services,Insurance-Property & Casualty,413,2017
OMI,-90.04237288135596,Healthcare,Medical Distribution,15400,2017
ABG,-2.499999999999991,Consumer Cyclical,Auto & Truck Dealerships,8500,2017
FUL,8.353443475032487,Basic Materials,Specialty Chemicals,6369,2017
DHC,0.5221932114882396,Real Estate,REIT-Healthcare Facilities,0,2017
FORM,20.44728434504793,Technology,Semiconductors,1836,2017
OFIX,34.29616087751372,Healthcare,Medical Devices,1055,2017
FN,-46.794425087108024,Technology,Electronic Components,11506,2017
HLIT,-26.19047619047618,Technology,Communication Equipment,1162,2017
DDD,-90.85648148148145,Technology,Computer Hardware,2472,2017
APEI,2.9940119760479043,Consumer Defensive,Education & Training Services,1410,2017
EHTH,29.418537708693155,Financial Services,Insurance Brokers,1500,2017
TNC,4.6799724707501795,Industrials,Specialty Industrial Machinery,4373,2017
TILE,27.634194831013914,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4110,2017
MXL,3.179409538228627,Technology,Semiconductors,697,2017
FCF,1.3966480446927447,Financial Services,Banks-Regional,1399,2017
BPFH,-6.796116504854374,Financial Services,Banks-Regional,779,2017
OPI,-3.8834951456310813,Real Estate,REIT-Office,0,2017
MGPI,44.8621227887617,Consumer Defensive,Packaged Foods,341,2017
ONTO,-3.1701444622792905,Technology,Semiconductors,1340,2017
PLAY,1.2869313032445184,Consumer Cyclical,Restaurants,15908,2017
AAON,7.493188010899182,Industrials,Building Products & Equipment,2290,2017
FOE,40.059347181008896,Basic Materials,Specialty Chemicals,5922,2017
FBK,39.366515837104075,Financial Services,Banks-Regional,1377,2017
STC,-3.2624113475177365,Financial Services,Insurance-Property & Casualty,5300,2017
LL,50.111500477859195,Consumer Cyclical,Home Improvement Retail,2090,2017
KN,-22.91950886766712,Technology,Communication Equipment,8500,2017
AAOI,18.667371760973026,Technology,Semiconductors,3115,2017
CHUY,-4.812834224598923,Consumer Cyclical,Restaurants,9000,2017
ADTN,-13.178294573643395,Technology,Communication Equipment,1790,2017
FBP,-31.764705882352946,Financial Services,Banks-Regional,2674,2017
SCHL,-14.136125654450266,Communication Services,Publishing,8300,2017
GMS,20.722635494155156,Industrials,Building Products & Equipment,5308,2017
RMAX,-15.567010309278345,Real Estate,Real Estate Services,500,2017
SAIA,32.084805653710255,Industrials,Trucking,10400,2017
AHH,11.268512556342564,Real Estate,REIT-Diversified,169,2017
MOV,15.683229813664608,Consumer Cyclical,Luxury Goods,1145,2017
PDCE,-43.46138921226232,Energy,Oil & Gas E&P,540,2017
IIIN,-30.790960451977394,Industrials,Metal Fabrication,881,2017
