Sector,pct change
Pharmaceutical Retailers,53.42857142857142
Resorts & Casinos,46.98795180722891
Electronic Gaming & Multimedia,36.813186813186825
Beverages-Non-Alcoholic,35.02799942010784
Residential Construction,31.89854710612398
Advertising Agencies,31.713249115727567
REIT-Industrial,30.424973880826634
Medical Devices,29.76629636264896
Apparel Manufacturing,29.4095107327257
Coking Coal,29.243206316728482
Insurance Brokers,28.46163180330688
Home Improvement Retail,26.93212992987882
Chemicals,26.795031741785724
"Furnishings, Fixtures & Appliances",25.174135674898388
Personal Services,24.484090746311416
Utilities-Regulated Water,24.162479245348393
Aluminum,24.079276294784837
Textile Manufacturing,23.908799132932565
Insurance-Life,23.202082655385613
Pollution & Treatment Controls,22.64808362369338
Healthcare Plans,22.371828068358358
Insurance-Reinsurance,21.84300341296929
Building Materials,21.69754931261208
Footwear & Accessories,21.450999084711373
Oil & Gas Refining & Marketing,21.300536708357576
Health Information Services,20.670335611513615
Credit Services,20.18909005901377
Rental & Leasing Services,19.27927927927927
Other Industrial Metals & Mining,19.13580246913581
Household & Personal Products,18.69332216514671
Asset Management,18.516075285150677
Railroads,17.91744840525328
Aerospace & Defense,17.143987398596817
Packaging & Containers,16.481413323518588
Semiconductors,15.305598349584466
Recreational Vehicles,13.797173259896818
Integrated Freight & Logistics,12.897868453561314
Specialty Industrial Machinery,12.763867616106408
Agricultural Inputs,12.468193384223916
Education & Training Services,11.05826426616965
Trucking,10.717780976641286
Staffing & Employment Services,10.650435154544265
Medical Instruments & Supplies,10.498069087647254
Packaged Foods,10.314707178858496
Airports & Air Services,10.059676044330773
Utilities-Diversified,9.64433745657038
Building Products & Equipment,9.123391677353121
Utilities-Regulated Gas,8.999131897665295
Engineering & Construction,8.70616744131879
Farm & Heavy Construction Machinery,8.68612829521059
Information Technology Services,8.013765557177686
Medical Care Facilities,7.999178696228678
Insurance-Property & Casualty,7.311381847746622
Real Estate-Diversified,6.6481994459833755
Discount Stores,6.289410623402755
Scientific & Technical Instruments,5.9909379313775375
Consulting Services,5.985374395107715
Internet Content & Information,5.8403603072969705
REIT-Residential,4.143350787125623
Specialty Chemicals,4.1159153328121585
Security & Protection Services,4.089709762532974
REIT-Office,3.9850175954686518
REIT-Hotel & Motel,3.8345092533308094
Semiconductor Equipment & Materials,3.4512171591879315
Communication Equipment,2.6736097799942136
Insurance-Specialty,2.671317310019503
Real Estate Services,2.544855259540512
Drug Manufacturers-Specialty & Generic,2.2737054251553257
Metal Fabrication,1.3057954265790963
Diagnostics & Research,0.9080052217531462
Biotechnology,0.8429607566175132
Publishing,0.7443294306619131
REIT-Mortgage,0.40555018910435503
Thermal Coal,0.0
Waste Management,-0.49019607843137253
Electronic Components,-0.6599618202762675
Banks-Regional,-0.6688563928015092
Electrical Equipment & Parts,-1.1072801922705082
Auto Parts,-1.7063532858292296
Airlines,-1.8893773928303659
Apparel Retail,-1.9099088529404842
Consumer Electronics,-2.4414505770437955
Paper & Paper Products,-4.86357084936912
Software-Application,-5.111662863061686
REIT-Healthcare Facilities,-5.415763533938336
Restaurants,-5.469864024838003
Farm Products,-6.954885044655759
Electronics & Computer Distribution,-7.278635814297499
Mortgage Finance,-7.3959935448492935
Industrial Distribution,-8.214927376302954
Entertainment,-8.409506398537467
Auto & Truck Dealerships,-9.279767070575122
Food Distribution,-9.58349095899396
Capital Markets,-10.885847631914618
Steel,-12.44351708697794
REIT-Retail,-12.841296808157027
Software-Infrastructure,-12.882146055089592
REIT-Diversified,-12.924722506586996
Tobacco,-14.04698072258394
Broadcasting,-15.339357677732476
Telecom Services,-16.339070742253252
Department Stores,-17.268757443429923
Marine Shipping,-19.50402144772117
Specialty Retail,-20.079201873801967
Specialty Business Services,-22.323903024062332
Oil & Gas Equipment & Services,-22.829645909899284
Tools & Accessories,-25.061425061425048
Conglomerates,-27.74621212121213
Oil & Gas E&P,-29.18472431549277
Oil & Gas Midstream,-37.591240875912405
REIT-Specialty,-38.39505340078696
Leisure,-39.53515986639738
Computer Hardware,-51.068985538112024
Oil & Gas Drilling,-56.62254384964592
Lumber & Wood Production,-66.258449153186
Luxury Goods,-83.58349312622175
Medical Distribution,-90.04237288135596
Internet Retail,-101.03092783505157
Business Equipment & Supplies,-110.35006591676988
