Date,Close,Ticker,Year,Month,Sector,Industry,Full Time Emp
2015-01-30,9.1,CENTA,2015,1,Consumer Defensive,Packaged Foods,5600.0
2015-01-30,26.4,ECHO,2015,1,Industrials,Integrated Freight & Logistics,2513.0
2015-01-30,19.785,HMSY,2015,1,Healthcare,Health Information Services,3100.0
2015-01-30,40.4,RGR,2015,1,Industrials,Aerospace & Defense,1609.0
2015-01-30,45.2,AAWW,2015,1,Industrials,Airports & Air Services,3587.0
2015-01-30,3.31,ARR,2015,1,Real Estate,REIT-Mortgage,0.0
2015-01-30,12.95,HOPE,2015,1,Financial Services,Banks-Regional,1416.0
2015-01-30,17.12,SPOK,2015,1,Communication Services,Telecom Services,613.0
2015-01-30,6.68,HT,2015,1,Real Estate,REIT-Hotel & Motel,49.0
2015-01-30,12.38,DAKT,2015,1,Technology,Computer Hardware,2395.0
2015-01-30,37.22,ECPG,2015,1,Financial Services,Mortgage Finance,7300.0
2015-01-30,25.69,HTLD,2015,1,Industrials,Trucking,4050.0
2015-01-30,38.79,USPH,2015,1,Healthcare,Medical Care Facilities,3200.0
2015-01-30,33.4,HUBG,2015,1,Industrials,Integrated Freight & Logistics,5000.0
2015-01-30,11.05,TTGT,2015,1,Communication Services,Internet Content & Information,649.0
2015-01-30,31.55,IRBT,2015,1,Technology,Consumer Electronics,1159.0
2015-01-30,24.0,AEIS,2015,1,Industrials,Electrical Equipment & Parts,10917.0
2015-01-30,47.43,LCI,2015,1,Healthcare,Drug Manufacturers-Specialty & Generic,954.0
2015-01-30,18.82,AMN,2015,1,Healthcare,Medical Care Facilities,3236.0
2015-01-30,8.45,CENT,2015,1,Consumer Defensive,Packaged Foods,5600.0
2015-01-30,4.03,NEO,2015,1,Healthcare,Diagnostics & Research,1700.0
2015-01-30,25.51,AEL,2015,1,Financial Services,Insurance-Life,608.0
2015-01-30,66.7,AMCX,2015,1,Communication Services,Broadcasting,2114.0
2015-01-30,8.16,ELY,2015,1,Consumer Cyclical,Leisure,4200.0
2015-01-30,27.66,BKU,2015,1,Financial Services,Banks-Regional,1493.0
2015-01-30,97.54,COKE,2015,1,Consumer Defensive,Beverages-Non-Alcoholic,14800.0
2015-01-30,19.28,SNEX,2015,1,Financial Services,Capital Markets,2950.0
2015-01-30,79.61,ENDP,2015,1,Healthcare,Drug Manufacturers-Specialty & Generic,3172.0
2015-01-30,27.49,STBA,2015,1,Financial Services,Banks-Regional,1201.0
2015-01-30,20.45,MRTN,2015,1,Industrials,Trucking,4087.0
2015-01-30,26.43,DIOD,2015,1,Technology,Semiconductors,6605.0
2015-01-30,33.63,FDP,2015,1,Consumer Defensive,Farm Products,38000.0
2015-01-30,60.12,MGLN,2015,1,Healthcare,Healthcare Plans,10100.0
2015-01-30,11.33,COHU,2015,1,Technology,Semiconductor Equipment & Materials,3200.0
2015-01-30,22.85,EBIX,2015,1,Technology,Software-Application,7975.0
2015-01-30,57.14,MNRO,2015,1,Consumer Cyclical,Auto Parts,8184.0
2015-01-30,24.03,MOV,2015,1,Consumer Cyclical,Luxury Goods,1145.0
2015-01-30,16.65,MYE,2015,1,Consumer Cyclical,Packaging & Containers,1640.0
2015-01-30,34.28,MMI,2015,1,Real Estate,Real Estate Services,877.0
2015-01-30,25.59,AVAV,2015,1,Industrials,Aerospace & Defense,823.0
2015-01-30,21.37,CHUY,2015,1,Consumer Cyclical,Restaurants,9000.0
2015-01-30,13.41,ONB,2015,1,Financial Services,Banks-Regional,2484.0
2015-01-30,24.95,DNOW,2015,1,Energy,Oil & Gas Equipment & Services,2600.0
2015-01-30,35.25,GME,2015,1,Consumer Cyclical,Specialty Retail,14000.0
2015-01-30,106.75,DIN,2015,1,Consumer Cyclical,Restaurants,558.0
2015-01-30,34.21,FELE,2015,1,Industrials,Specialty Industrial Machinery,5500.0
2015-01-30,39.01,POWL,2015,1,Industrials,Electrical Equipment & Parts,1997.0
2015-01-30,17.85,IBP,2015,1,Industrials,Building Products & Equipment,8500.0
2015-01-30,49.39,CIR,2015,1,Industrials,Specialty Industrial Machinery,3200.0
2015-01-30,22.44,CHRS,2015,1,Healthcare,Biotechnology,306.0
2015-01-30,34.28,RCII,2015,1,Industrials,Rental & Leasing Services,14500.0
2015-01-30,6.95,TTMI,2015,1,Technology,Electronic Components,25700.0
